GenetIsoOne	COULar	LABCas	NGAVga	NOOAst	NOOCas	NOOEsp	NOOLac	NOOSav	NOOTre	NOOVoo	NOUBoo	NOUCir	NOUMay	NOUSpo	ONEBag
COULar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LABCas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGAVga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOOAst	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOOCas	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NOOEsp	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
NOOLac	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0
NOOSav	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NOOTre	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
NOOVoo	0	0	0	0	12	1	0	0	1	0	0	0	0	0	0
NOUBoo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOUCir	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
NOUMay	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0
NOUSpo	0	0	0	0	0	0	0	0	2	0	0	1	5	0	0
ONEBag	0	1	0	0	0	0	0	3	7	1	0	2	0	1	0
